bp_num_ips,bp_num_tm,code_upw,upw,bp_nm,type_etablissement,postal_cd
3684.0,664,35,UPW BOUMERDES,BORDJ MENAEIL,ETAB  ,35001
354.0,665,35,UPW BOUMERDES,BOUDOUAOU,ETAB  ,35003
898.0,668,35,UPW BOUMERDES,ZEMMOURI,ETAB  ,35012
351.0,669,35,UPW BOUMERDES,THENIA,ETAB  ,35005
3698.0,670,35,UPW BOUMERDES,HEMMADI,ETAB  ,35015
495.0,671,35,UPW BOUMERDES,DELLYS,ETAB  ,35004
352.0,672,35,UPW BOUMERDES,KHEMIS EL KHECHNA ,ETAB  ,35010
3689.0,673,35,UPW BOUMERDES,BENI AMRANE,ETAB  ,35006
3694.0,674,35,UPW BOUMERDES,OULED MOUSSA,ETAB  ,35011
1390.0,675,35,UPW BOUMERDES,DJINET,ETAB  ,35024
3701.0,676,35,UPW BOUMERDES,NACIRIA,ETAB  ,35018
899.0,677,35,UPW BOUMERDES,LARBATACHE,ETAB  ,35017
353.0,678,35,UPW BOUMERDES,ISSER,ETAB  ,35009
3702.0,679,35,UPW BOUMERDES,SIDI DAOUD,ETAB  ,35019
902.0,680,35,UPW BOUMERDES,TIDJELABINE,ETAB  ,35021
1378.0,681,35,UPW BOUMERDES,OULED HEDADJ,ETAB  ,35052
349.0,682,35,UPW BOUMERDES,BOUMERDES RP,ETAB  ,35000
904.0,683,35,UPW BOUMERDES,CORSO,ETAB  ,35014
1394.0,689,35,UPW BOUMERDES,AZROU,ETAB  ,35032
3739.0,692,35,UPW BOUMERDES,SIDI EL MEDJNI,ETAB  ,35056
3696.0,693,35,UPW BOUMERDES,BAGHLIA,ETAB  ,35013
1393.0,694,35,UPW BOUMERDES,BENCHOUD,ETAB  ,35033
3705.0,695,35,UPW BOUMERDES,AFIR,ETAB  ,35022
3712.0,696,35,UPW BOUMERDES,TAOURGA,ETAB  ,35029
3740.0,698,35,UPW BOUMERDES,TAKDEMPT,ETAB  ,35057
3723.0,699,35,UPW BOUMERDES,CHLEF BOUMRAOU,ETAB  ,35040
1459.0,700,35,UPW BOUMERDES,ISSER VILLE,ETAB  ,35016
3730.0,701,35,UPW BOUMERDES,KAHF EL GHARBI,ETAB  ,35047
1383.0,702,35,UPW BOUMERDES,OULED AISSA,ETAB  ,35050
3742.0,703,35,UPW BOUMERDES,TIZI NALI SLIMANE,ETAB  ,35059
3685.0,704,35,UPW BOUMERDES,BORDJ MENAIEL AMIROUCHE,ETAB  ,35002
3709.0,705,35,UPW BOUMERDES,LEGHATA,ETAB  ,35026
900.0,706,35,UPW BOUMERDES,BOUMERDES LE ROCHER,ETAB  ,35062
908.0,707,35,UPW BOUMERDES,SOUK EL HAD,ETAB  ,35020
3706.0,708,35,UPW BOUMERDES,BOUDOUAOU BENTERQUIA,ETAB  ,35023
1389.0,709,35,UPW BOUMERDES,KOUDIET EL ARAIS,ETAB  ,35025
1384.0,710,35,UPW BOUMERDES,ROUAFA,ETAB  ,35027
907.0,711,35,UPW BOUMERDES,SI MUSTAPHA,ETAB  ,35028
3713.0,712,35,UPW BOUMERDES,ABADA,ETAB  ,35030
3714.0,713,35,UPW BOUMERDES,AMMAL,ETAB  ,35031
1375.0,715,35,UPW BOUMERDES,BEN MERZOUGA,ETAB  ,35034
3720.0,716,35,UPW BOUMERDES,BOUDOUAOU EL BAHRI,ETAB  ,35037
1376.0,717,35,UPW BOUMERDES,BOUZEGZA KEDDARA,ETAB  ,35038
1380.0,718,35,UPW BOUMERDES,CHEBACHEB,ETAB  ,35039
3725.0,719,35,UPW BOUMERDES,HADDADA,ETAB  ,35042
3728.0,720,35,UPW BOUMERDES,HAOUCH EL MOKHFI,ETAB  ,35045
1387.0,721,35,UPW BOUMERDES,EL KARMA,ETAB  ,35046
1377.0,722,35,UPW BOUMERDES,EL KHAROUBA,ETAB  ,35048
3732.0,723,35,UPW BOUMERDES,KHEMIS EL KHECHNA 17 JUIN,ETAB  ,35049
3736.0,725,35,UPW BOUMERDES,OULED HMIDA,ETAB  ,35053
3738.0,726,35,UPW BOUMERDES,SEBAOU LEKDIM,ETAB  ,35055
1395.0,727,35,UPW BOUMERDES,TCHOUCHFI BOUBERAK,ETAB  ,35058
1388.0,728,35,UPW BOUMERDES,ZAATRA,ETAB  ,35060
3744.0,729,35,UPW BOUMERDES,ZEMMOURI LE BAHRI,ETAB  ,35061
3724.0,730,35,UPW BOUMERDES,FOURAR AIN SEBAOU,ETAB  ,35041
3718.0,731,35,UPW BOUMERDES,BOUAIDEL,ETAB  ,35035
3727.0,732,35,UPW BOUMERDES,HAOUCH BEN OUALI,ETAB  ,35044
3737.0,733,35,UPW BOUMERDES,OURIACHA,ETAB  ,35054
3719.0,734,35,UPW BOUMERDES,BOUDHAR,ETAB  ,35036
3734.0,735,35,UPW BOUMERDES,OULED ALI,ETAB  ,35051
3726.0,736,35,UPW BOUMERDES,HADJ AHMED,ETAB  ,35043
897.0,737,35,UPW BOUMERDES,CHABET EL AMEUR,ETAB  ,35008
363.0,745,15,UPW TIZI OUZOU,TIZI OUZOU RP,ETAB  ,15000
365.0,746,15,UPW TIZI OUZOU,AZAZGA CHERIFI-ALI-IBN-AREZKI,ETAB  ,15001
3318.0,747,15,UPW TIZI OUZOU,AIN EL HAMMAM,ETAB  ,15002
368.0,748,15,UPW TIZI OUZOU,BOGHNI,ETAB  ,15003
366.0,749,15,UPW TIZI OUZOU,DRAA BEN KHEDDA,ETAB  ,15004
371.0,750,15,UPW TIZI OUZOU,DRAA EL MIZAN,ETAB  ,15005
370.0,751,15,UPW TIZI OUZOU,LARBAA NATH IRATHEN,ETAB  ,15006
369.0,752,15,UPW TIZI OUZOU,TIZI OUZOU ANNANE RABAH,ETAB  ,15007
364.0,753,15,UPW TIZI OUZOU,TIZI OUZOU CHIKH AMAR OUMHAND,ETAB  ,15008
3468.0,754,15,UPW TIZI OUZOU,TIZI OUZOU KRIM BELKACEM,ETAB  ,15161
3325.0,755,15,UPW TIZI OUZOU,AIT IKHLEF,ETAB  ,15009
3326.0,756,15,UPW TIZI OUZOU,AZEFFOUN,ETAB  ,15010
3327.0,757,15,UPW TIZI OUZOU,BENI DOUALA,ETAB  ,15011
3328.0,758,15,UPW TIZI OUZOU,FREHA,ETAB  ,15012
3329.0,759,15,UPW TIZI OUZOU,IFERHOUNENE,ETAB  ,15013
3330.0,760,15,UPW TIZI OUZOU,MEKLA,ETAB  ,15014
3331.0,761,15,UPW TIZI OUZOU,OUACIF,ETAB  ,15015
963.0,762,15,UPW TIZI OUZOU,OUADHIA,ETAB  ,15016
3333.0,763,15,UPW TIZI OUZOU,SOUK EL KHEMIS,ETAB  ,15017
3334.0,764,15,UPW TIZI OUZOU,TADMAIT,ETAB  ,15018
3335.0,765,15,UPW TIZI OUZOU,TIGZIRT,ETAB  ,15019
3336.0,766,15,UPW TIZI OUZOU,TIZI GHENIFF,ETAB  ,15020
3338.0,767,15,UPW TIZI OUZOU,AGHRIB,ETAB  ,15022
3339.0,768,15,UPW TIZI OUZOU,AGOUNI GUEGHRANE,ETAB  ,15023
3340.0,769,15,UPW TIZI OUZOU,AGOUNI OUADELLAH,ETAB  ,15024
959.0,770,15,UPW TIZI OUZOU,DJEBEL AISSA MIMOUN,ETAB  ,15033
3341.0,771,15,UPW TIZI OUZOU,AIT BOUADOU,ETAB  ,15025
3342.0,772,15,UPW TIZI OUZOU,AIT IDJA,ETAB  ,15026
3343.0,773,15,UPW TIZI OUZOU,AIT YAHIA MOUSSA,ETAB  ,15027
3344.0,774,15,UPW TIZI OUZOU,AKERROU,ETAB  ,15028
